decision_id,title,question,finding_ids,claim_ids,capability_ids,evidence_ids,severity,competing_evidence,options,recommendation,consequences,acceptance_evidence,owner,state
CQL-P5-PLAT-001,"Immediate security and compliance truth repair","Which security and compliance statements are true of the pinned release?","CQL-FND-HR-020","CQL-WP-E7665FC969E0;CQL-WP-5DEA2F35D7D6;CQL-WP-6F7A816BE852;CQL-WP-8E079CB7A4CB","CQL-CORE-SEC-001;CQL-CORE-AUD-001;CQL-SRV-SEC-001;CQL-SRV-AUD-001;CQL-SRV-AUD-002","AUTH-008;server test suite lacks auth/tenant/audit-integrity suite",P0,"Whitepaper asserts fail-closed RBAC/RLS, tenant isolation, hash-chained audit, and regulated-industry readiness; pinned core parses GRANT without execution and pinned server routes are unauthenticated with mutable SQLite audit rows.","A retain assurance|B qualify as reference design and remove readiness/compliance assurance|C remove security design",B,"Prevents unsafe reliance while preserving future architecture; narrows current positioning.","All current-tense control/readiness claims qualified; absent-control table published; security authority signs boundary; publication review finds no unqualified assurance.","Documentation integration owner; security design authority",factual-truth-repair
CQL-P5-PLAT-002,"Lifecycle, freshness, create semantics, and query gating","What canonical states and freshness conditions gate create, refresh, preview, and ordinary query?","CQL-FND-HR-016;CQL-FND-HR-017","CQL-WP-BF1F3291584C;CQL-WP-66DB2AA5B51F;CQL-WP-D71BB7D52680;CQL-WP-FFCA3426B13A;CQL-WP-1A867374DEE3;CQL-WP-3FCC4C832E5F;CQL-WP-9B44A1743052","CQL-CORE-LIF-001;CQL-CORE-OPT-001;CQL-CORE-SNP-001;CQL-SRV-CAT-001;CQL-SRV-CAT-004;CQL-SRV-CAT-005;CQL-SRV-SCH-001","Focused core retired-query probe;CS-7;CS-15;CS-18;server catalog/scheduler tests",P1,"Paper has a nine-state FSM and incompatible freshness vocabulary/codes; core creates active and does not gate retired contexts; server rewrites create to draft and exposes four states; specification defines stale_after with W100/W101.","A implement nine persisted states|B four durable governance states plus orthogonal runtime status|C informational metadata only","B: atomically create draft; only active is ordinarily queryable; preview evaluates pre-active definitions; stale/failed/refreshing follows CS-15; use stale_after.","Simpler testable safety boundary; breaks callers reading draft/retired contexts; requires core/server atomic create alignment.","Shared transition matrix; restart and invalid-transition tests; query/preview matrix for every state; clock-controlled W100/W101 tests; concurrent refresh and atomic-create tests; docs/OpenAPI gate.","Core semantics owner; server control-plane owner; operations owner consulted",recommended-awaiting-decision
CQL-P5-PLAT-003,"Explain execution safety","Is server explain side-effect-free or an executing trace endpoint?","CQL-FND-HR-021","CQL-WP-506FAB66AF2A","CQL-CORE-EXP-001;CQL-SRV-EXP-001;CQL-SRV-EXP-002","P3-API-001;AUTH-005;AUTH-008;EQ-8",P1,"Paper and core imply dry plan; server /query/explain executes, calls providers, and returns rows plus trace.","A keep executing explain|B dry explain plus distinct trace endpoint|C required mode in one endpoint","B: make explain dry and expose explicitly named, query-authorized, bounded execution trace separately.","Existing explain-row clients migrate; aligns safety expectations and core/server semantics.","No-execution spies across adapter/provider/DDL/refresh; trace auth and bounds tests; OpenAPI side-effect metadata; compatibility/deprecation test.","Server API owner; security design authority",recommended-awaiting-decision
CQL-P5-PLAT-004,"Provider registry activation and health","When does persisted provider metadata become routable, and what does healthy mean?","CQL-FND-HR-022","CQL-WP-CFB95979A8CF;CQL-WP-7DBCE3652446","CQL-SRV-PRO-001;CQL-SRV-PRO-002;CQL-SRV-PRO-003;CQL-CORE-MCP-001;CQL-CORE-REM-001","AUTH-007;server provider inventory and tests",P1,"CRUD stores enabled/health metadata, but startup does not instantiate persisted providers and health returns stored state; built-ins are wired separately.","A informational registry|B authoritative activation with desired/observed state|C split registries","B: registry-driven allowlisted factory/credential activation, separate desired and observed state, active probes, fail-closed routing, per-provider degraded failure.","Adds security and operations surface; converts decorative metadata into runtime contract and reveals configuration failures.","API-only configuration survives restart and queries; bad credential/factory/endpoint/timeout/schema/disabled/recovery tests; probe timestamps/reasons; secret-redaction; idempotent activation.","Federation owner; server operations owner; security owner consulted",recommended-awaiting-decision
CQL-P5-PLAT-005,"Identity scope and naming","Is current functionality deterministic identity binding or canonical confidence-based resolution?","CQL-FND-HR-023","CQL-WP-5592BF0BAA46","CQL-CORE-IDN-001;CQL-SRV-ID-001;CQL-SRV-ID-002","AUTH-007;OPS-5;OPS-6;AD-2;AD-6;GQ-4",P1,"Accepted design and paper describe global canonical/confidence identity; runtime sync performs exact path-pair binding and ignores resolution metadata.","A implement full v1 resolver|B reframe as deterministic identity binding and defer resolution|C remove registry","B: retain and accurately name binding; reject inert fields; supersede v1 timing of canonical/confidence resolution.","May require API migration; prevents governance assumptions; future resolution remains a substantial privacy/security design.","Unambiguous API/docs; every field effective or rejected; cross-key/restart binding tests; future resolver decision includes ambiguity, provenance, privacy, lifecycle, and auth evidence.","Identity/governance owner; federation and security owners consulted",recommended-awaiting-decision
CQL-P5-PLAT-006,"API, release, and core/server compatibility identity","Which server, HTTP, core, and language versions identify a supported combination?","CQL-FND-HR-024;CQL-FND-HR-032","CQL-WP-D8998113046B;CQL-WP-506FAB66AF2A;CQL-WP-BEEC4169BEDA;CQL-WP-24B6558AE9C0;CQL-WP-8105C519874A;CQL-WP-7DBCE3652446;CQL-WP-29E1F1769037;CQL-WP-A57576D122D9","CQL-SRV-VER-001;CQL-SRV-API-001;CQL-SRV-QRY-001","P3-API-001;AUTH-005;Phase 0 frozen pair",P1,"Package/README say server 0.1.0, FastAPI/startup say 0.3.0, core is 0.2.0, dependency is a range, routes are unversioned while paper uses /v1.","A unversioned HTTP plus package SemVer|B /v1 plus one generated release version and tested pair matrix|C experimental API until stabilization","B with time-bounded compatibility alias or explicit breaking release; distinguish server, HTTP-major, core, and language/spec versions.","Requires route/client migration; enables reproducible diagnostics, audit, compatibility, and deprecation.","One generated version across package/CLI/OpenAPI/health/audit/README/tag; versioned or expressly experimental routes; committed tested pair matrix; OpenAPI diff and deprecation gate.","Release/API compatibility owner; core and server maintainers",recommended-awaiting-decision
CQL-P5-PLAT-007,"Ignored context-update fields","Are entity_key, has_score, and classification mutable, immutable, or unsupported?","CQL-FND-HR-025","","CQL-SRV-CAT-003","AUTH-005;AUTH-006;CS-13;server catalog inventory/tests",P1,"Request model accepts fields but update service ignores them; successful response can silently fail to apply intent.","A implement all mutable|B remove/reject until semantics accepted|C classification mutable and key/score require recreate","B now, then decide per field; never succeed on an ignored supplied value. C is likely target only after classification authorization/audit design.","Strict rejection may break nominally successful clients, but current intent is already not applied; future shape changes require migration/invalidation rules.","Per-field persisted/engine/version/snapshot/audit/restart contract or stable rejection; explicit null distinct from omission; OpenAPI only exposes effective fields.","Catalog API owner; core storage owner; security owner for classification",recommended-awaiting-decision
CQL-P5-PLAT-008,"Storage, MVCC, isolation, and performance claim scope","Which storage tiers, concurrency guarantees, and performance numbers describe implemented reference behavior?","CQL-FND-HR-001","CQL-WP-55617C0F6BB4;CQL-WP-B537AEBC3005;CQL-WP-5300CA5B3607;CQL-WP-82FD38E9BF97","CQL-CORE-BMP-001;CQL-CORE-BEN-001;CQL-CORE-SNP-001;CQL-SRV-PER-002;CQL-SRV-PER-004","AUTH-009;Phase3 benchmark limitation;EQ-5;EQ-7;CS-3;CS-4;CS-7",P1,"Paper claims automatic Roaring/Arrow/Parquet tiers, broad latency/asymptotic performance and MVCC isolation; evidence supports set/Roaring reference storage, one unregenerated benchmark, and SQLite copy-and-promote only.","A keep architectural shorthand|B split implementation, measured scenario, and target architecture|C implement complete design first","B: say versioned immutable snapshots/copy-and-promote unless query-lifetime isolation is proven; publish only reproducible scoped benchmarks.","Narrows marketing; preserves architecture as roadmap; EQ-5/EQ-7 need target/superseded status unless scheduled.","Clean benchmark artifacts; concurrent reader/refresh lifetime tests; proof for every tier/movement claim; claim-to-evidence checks; no unsupported asymptotic/platform-wide latency.","Storage/performance owner; server persistence owner",recommended-awaiting-decision
CQL-P5-PLAT-009,"Generic streaming versus connector synchronization","Does v1 ship generic micro-batching/streaming or connector-specific change-feed synchronization?","CQL-FND-HR-018","CQL-WP-3D6733377440;CQL-WP-4633954A88FF;CQL-WP-7ADB781864CA;CQL-WP-9FE16BD53DD7;CQL-WP-A608F1F3F3E1;CQL-WP-DF1416B35A07","CQL-CORE-OPT-001;CQL-SRV-DS-004","AUTH-006;OPS-3;CS-19;DeepSee synchronizer tests",P1,"OPS-3/paper promise embedded v1 one-second micro-batching while other passages defer streaming; DeepSee has bounded connector-specific ordered/idempotent folding only.","A complete generic current roadmap|B supersede v1 commitment and scope docs to connector sync|C immediately extract generic connector SDK","B; consider C only after a second connector. Do not label scheduler/watch/polling/one connector as streaming.","Removes false v1 differentiator; future generic contract must define delivery, ordering, replay, backpressure, schema and recovery.","Scoped terminology; OPS-3 explicitly superseded/deferred; existing connector guarantees retained; future protocol has second implementation plus load/failure evidence and SLOs.","Operations/connector owner; roadmap owner",recommended-awaiting-decision
CQL-P5-PLAT-010,"Audit integrity and evidentiary scope","Is the audit store operational history, append-only control, or tamper-evident compliance evidence?","CQL-FND-HR-020","CQL-WP-E7665FC969E0;CQL-WP-5DEA2F35D7D6;CQL-WP-6F7A816BE852;CQL-WP-8E079CB7A4CB","CQL-CORE-AUD-001;CQL-SRV-AUD-001;CQL-SRV-AUD-002","AUTH-008;GQ-7;GQ-8;server audit inventory/tests",P0,"Paper promises hash-chained append-only Parquet and reproducibility; server appends mutable SQLite rows by convention without authentication, integrity, retention, or proven complete coverage.","A operational log only|B local hash chain|C threat-modeled tamper-evident profile with protected/external anchor","A for current release and C before compliance-evidence claims; local self-recomputable chain alone is insufficient.","Preserves observability but denies independent evidentiary assurance; stronger profile adds keys, schema, operations, migration, privacy and review costs.","Immediate limitation/coverage docs; then threat model, canonical schema, authenticated access, protected checkpoints, mutation/truncation/replay/key-rotation/export tests, retention/privacy review, independent assessment.","Security design authority; audit/compliance owner",recommended-awaiting-decision
