"claim_id","source_path","source_lines","section","atomic_claim","claim_class","domain","stated_maturity_or_target_version","normativity","expected_evidence","corroborating_or_related_sources","potential_conflict_or_drift","review_risk","initial_notes"
"CQL-WP-6A95EB85284C","WHITEPAPER.md","65","Abstract","Modern operational analytics systems struggle to express business situations in a reusable and governed way.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-818AA617F8C0","WHITEPAPER.md","65","Abstract","Traditional SQL excels at querying tables, but it lacks a native abstraction for operational contexts such as risk situations, delays, compliance violations, or process anomalies.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-98007DBFFE37","WHITEPAPER.md","65","Abstract","Process mining systems partially address this challenge but often rely on proprietary query languages and tightly coupled execution environments.","design-claim","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-77721A121815","WHITEPAPER.md","67","Abstract","ContextQL combines SQL-compatible syntax, reusable operational contexts, a formal context set algebra, process intelligence functions, retrieval-style ranking, columnar and vectorized execution, and a governed lifecycle for context management.","language-surface","process-intelligence","architecture claim; maturity not stated locally","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-927E4320890C","WHITEPAPER.md","67","Abstract","Where semantic layers standardize the *meaning* of data, ContextQL resolves *context* — which operational situations apply to which entities, with what urgency, from what evidence, across which systems.","architecture","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-DC0F52BA8C0F","WHITEPAPER.md","67","Abstract","This paper proposes ContextQL, a SQL-first context resolution engine that introduces contexts as first-class query primitives while remaining compatible with modern columnar analytics engines.","design-claim","product-architecture","architecture claim; maturity not stated locally","design-intent","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-00EF2A0D68E7","WHITEPAPER.md","69","Abstract","The architecture introduces a new operational layer called Context Operations (Context Ops) responsible for computing, caching, governing, and maintaining context membership.","architecture","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","SPEC.md:306-325; DECISIONS.md:1107-1403; docs/architecture/BITMAP_CONTEXT_STORAGE.md","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-55617C0F6BB4","WHITEPAPER.md","69","Abstract","Together with a three-tier physical storage model (roaring bitmaps, Apache Arrow columnar tables, and Parquet files), these components form a scalable platform for context-aware operational intelligence, capable of millisecond-class retrieval for high-priority business situations.","performance-target","storage-lifecycle","architecture claim; maturity not stated locally","descriptive assertion","reproducible benchmark with dataset, hardware, configuration, and raw results","SPEC.md:306-325; DECISIONS.md:1107-1403; docs/architecture/BITMAP_CONTEXT_STORAGE.md","Requires benchmark provenance; docs/plans/credibility-correctness-consolidation.md:136-154 treats provenance as unfinished work.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-D06BE74002B3","WHITEPAPER.md","108","Implementation Status (v0.2)","This whitepaper describes the complete ContextQL architecture.","maturity-status","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","implementation artifact plus executable acceptance test or release record","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-98F4FAD2C112","WHITEPAPER.md","112","Implemented","Language grammar — grammar/contextql.lark (27 statement types, full expression grammar, window functions, GLOBAL(), ZSCORE())","language-surface","language-semantics","implemented (whitepaper v0.2 assertion)","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","SPEC.md:246-261; DECISIONS.md:53-80,604-645","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary. Count is version-sensitive and should be generated from grammar/tests rather than maintained manually.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-A6BF8026647E","WHITEPAPER.md","113","Implemented","Parser with error recovery — contextql/parser.py","design-claim","developer-platform","implemented (whitepaper v0.2 assertion)","descriptive assertion","public interface implementation, protocol/API tests, and user-facing example","","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Direct declarative extraction from the whitepaper."
"CQL-WP-50D6543E9F5B","WHITEPAPER.md","114","Implemented","Semantic linter with 11 rules — contextql/linter.py","design-claim","product-architecture","implemented (whitepaper v0.2 assertion)","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary. README.md:454-472 currently enumerates a different/version-sensitive public lint surface; verify registry rather than prose count.","high","Direct declarative extraction from the whitepaper."
"CQL-WP-0F505A79FBF6","WHITEPAPER.md","115","Implemented","Rich diagnostic renderer (Rust/Elm-style) — contextql/diagnostics.py","design-claim","developer-platform","implemented (whitepaper v0.2 assertion)","descriptive assertion","public interface implementation, protocol/API tests, and user-facing example","SPEC.md:528-551; DECISIONS.md:945-955","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Direct declarative extraction from the whitepaper."
"CQL-WP-F228AE7F7D21","WHITEPAPER.md","116","Implemented","Error code registry — contextql/errors.py","design-claim","developer-platform","implemented (whitepaper v0.2 assertion)","descriptive assertion","public interface implementation, protocol/API tests, and user-facing example","SPEC.md:528-551; DECISIONS.md:945-955","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Direct declarative extraction from the whitepaper."
"CQL-WP-0AD481B63995","WHITEPAPER.md","117","Implemented","Type system definitions — contextql/types.py","design-claim","language-semantics","implemented (whitepaper v0.2 assertion)","descriptive assertion","grammar/parser support, semantic implementation, and positive/negative conformance tests","","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Direct declarative extraction from the whitepaper."
"CQL-WP-43FC729B33FF","WHITEPAPER.md","118","Implemented","Semantic lowerer and in-memory catalog — contextql/semantic.py","design-claim","product-architecture","implemented (whitepaper v0.2 assertion)","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-BFCBE3CEEEE8","WHITEPAPER.md","119","Implemented","Hybrid DuckDB execution engine with context filtering, scoring, and ranking — contextql/executor.py","design-claim","execution-optimization","implemented (whitepaper v0.2 assertion)","descriptive assertion","execution implementation, plan inspection, correctness tests, and relevant benchmark","","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-E3B8886B7508","WHITEPAPER.md","120","Implemented","DuckDB adapter — contextql/adapters/duckdb_adapter.py","design-claim","execution-optimization","implemented (whitepaper v0.2 assertion)","descriptive assertion","execution implementation, plan inspection, correctness tests, and relevant benchmark","","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Direct declarative extraction from the whitepaper."
"CQL-WP-3D7A04797C8A","WHITEPAPER.md","121","Implemented","Public Python SDK: Engine, Result, CatalogProxy, demo() — contextql/init.py","performance-target","developer-platform","implemented (whitepaper v0.2 assertion)","descriptive assertion","reproducible benchmark with dataset, hardware, configuration, and raw results","README.md:102-263,303-326; docs/TOOLING.md:25-209","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-EE5390AD2C7D","WHITEPAPER.md","122","Implemented","Provider interfaces: MCPProvider, MCPResult, RemoteProvider, RemoteResult — contextql/providers.py","design-claim","federation-identity","implemented (whitepaper v0.2 assertion)","descriptive assertion","provider/transport implementation, contract tests, failure-mode tests, and integration fixture","SPEC.md:140-148,464-491; DECISIONS.md:198-294,549-672; docs/architecture/DEEPSEE_CONNECTOR.md","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-9916AFDF9E75","WHITEPAPER.md","123","Implemented","Fluent QueryBuilder API — contextql/_builder.py","interface-contract","product-architecture","implemented (whitepaper v0.2 assertion)","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Direct declarative extraction from the whitepaper."
"CQL-WP-C7029208A2D8","WHITEPAPER.md","124","Implemented","Jupyter magic (%%cql, %cql_setup, %cql_contexts) — contextql/_magic.py","design-claim","developer-platform","implemented (whitepaper v0.2 assertion)","descriptive assertion","public interface implementation, protocol/API tests, and user-facing example","README.md:102-263,303-326; docs/TOOLING.md:25-209","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-136DFA39E461","WHITEPAPER.md","125","Implemented","CLI (cql — REPL, file runner, explain) — contextql/cli.py","interface-contract","developer-platform","implemented (whitepaper v0.2 assertion)","descriptive assertion","public interface implementation, protocol/API tests, and user-facing example","README.md:102-263,303-326; docs/TOOLING.md:25-209","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-AB9662F8BB46","WHITEPAPER.md","126","Implemented","Language Server Protocol server — contextql/lsp/server.py","interface-contract","developer-platform","implemented (whitepaper v0.2 assertion)","descriptive assertion","public interface implementation, protocol/API tests, and user-facing example","docs/LANGUAGE_SERVER_SPEC.md:24-158; README.md:318-326","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Direct declarative extraction from the whitepaper."
"CQL-WP-AA923378143D","WHITEPAPER.md","127","Implemented","VS Code extension — vscode-contextql/","design-claim","developer-platform","implemented (whitepaper v0.2 assertion)","descriptive assertion","public interface implementation, protocol/API tests, and user-facing example","","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Direct declarative extraction from the whitepaper."
"CQL-WP-F19F88419F29","WHITEPAPER.md","128","Implemented","Federated context provider runtime — MCPProvider, RemoteProvider, Engine.register_mcp_provider, Engine.register_remote_provider — contextql/providers.py, contextql/executor.py (wire-protocol DDL and REGISTER PROVIDER syntax remain designed; see Section 22)","maturity-status","federation-identity","implemented (whitepaper v0.2 assertion)","design-intent","implementation artifact plus executable acceptance test or release record","SPEC.md:140-148,464-491; DECISIONS.md:198-294,549-672; docs/architecture/DEEPSEE_CONNECTOR.md","Implementation-status assertion requires code/test verification; README.md:54-74 gives a narrower shipped-versus-designed boundary.","high","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-7B607BB80EA6","WHITEPAPER.md","132","Specified (Reference Architecture)","Physical storage model (Section 18)","architecture","storage-lifecycle","specified reference architecture","descriptive assertion","storage/catalog implementation, transition and concurrency tests, and recovery evidence","","","medium","Direct declarative extraction from the whitepaper."
"CQL-WP-0DE66027C15A","WHITEPAPER.md","133","Specified (Reference Architecture)","Context Operations lifecycle (Sections 19-21)","architecture","product-architecture","specified reference architecture","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-250F74E11B70","WHITEPAPER.md","134","Specified (Reference Architecture)","Process intelligence functions (Sections 13-14)","architecture","process-intelligence","specified reference architecture","descriptive assertion","function/DDL implementation and event-log conformance fixtures","SPEC.md:40-50,175-186,422-462; DECISIONS.md:296-406","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-35F33109BD23","WHITEPAPER.md","138","Designed (Protocol Surface)","Federated context provider wire protocol and DDL (REGISTER PROVIDER) — MCP and REMOTE (Section 22)","language-surface","federation-identity","designed protocol surface","descriptive assertion","provider/transport implementation, contract tests, failure-mode tests, and integration fixture","SPEC.md:140-148,464-491; DECISIONS.md:198-294,549-672; docs/architecture/DEEPSEE_CONNECTOR.md","","medium","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-0C45C94727B9","WHITEPAPER.md","139","Designed (Protocol Surface)","Global Entity Namespace and identity resolution (Section 23)","design-claim","federation-identity","designed protocol surface","descriptive assertion","provider/transport implementation, contract tests, failure-mode tests, and integration fixture","","","medium","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-68F3828CB4D3","WHITEPAPER.md","140","Designed (Protocol Surface)","Security, governance, and compliance (Sections 24-30)","design-claim","security-governance","designed protocol surface","descriptive assertion","enforcement implementation, adversarial tests, audit evidence, and documented threat/control mapping","SPEC.md:493-514; DECISIONS.md:700-796","","medium","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-0E0C6F65E3BA","WHITEPAPER.md","147","Deferred to v2","LLM-driven context synthesis (Section 34)","design-claim","developer-platform","deferred to v2","descriptive assertion","public interface implementation, protocol/API tests, and user-facing example","","Whitepaper status defers synthesis to v2 while Section 34 describes a substantial API surface; maturity labeling must remain explicit.","high","Direct declarative extraction from the whitepaper."
"CQL-WP-6BAFA743B995","WHITEPAPER.md","160","1. Introduction","Traditional SQL expresses data relationships, but these questions require expressing situations or contexts.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-84AD03F73F79","WHITEPAPER.md","170","1. Introduction","The business meaning -- ""Late invoices from risky suppliers"" -- is implicit, buried in predicates that must be repeated across every query that needs this logic.","requirement","product-architecture","architecture claim; maturity not stated locally","normative","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-D44FE49EEC4A","WHITEPAPER.md","179","1. Introduction","Contexts become reusable semantic building blocks for operational intelligence: defined once, governed centrally, and composed freely.","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-445C7731C333","WHITEPAPER.md","185","2. Motivation","Existing analytics architectures follow a layered model:","architecture","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-9F1FC7F6677D","WHITEPAPER.md","191","2. Motivation","But operational decision systems require resolving what *situations apply* — a fundamentally different concern:","design-claim","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
"CQL-WP-CEE91EEA32F9","WHITEPAPER.md","191","2. Motivation","Semantic layers (dbt, Cube, Looker) standardize what data *means* — metric definitions, dimension relationships, naming conventions.","architecture","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Source sentence retained as one review unit; reviewer should split further if the linked clauses can vary independently."
"CQL-WP-3F02E92C0078","WHITEPAPER.md","197","2. Motivation","Without a dedicated context resolution layer:","architecture","product-architecture","architecture claim; maturity not stated locally","descriptive assertion","normative specification or decision plus implementation and acceptance test where claimed as shipped","","","normal","Direct declarative extraction from the whitepaper."
