repair_id,title,finding_ids,affected_surfaces,factual_basis,recommended_edit_scope,remaining_decision,priority,status,closure_evidence
CQL-TR-001,"Remove current production security/compliance assurance","CQL-FND-HR-020","WHITEPAPER conclusion; security/governance status; server README","Public HTTP routes have no authentication/RBAC/RLS/tenant enforcement and audit rows are not hash chained.","Label these as reference architecture and remove present-tense production-ready assurance.","Security architecture and delivery roadmap remain design-authority decisions.",P0,recommended-factual-truth-repair,"Published text contains no claim of enforced controls without corresponding abuse tests."
CQL-TR-002,"Replace binary implementation table with maturity-aware status","CQL-FND-HR-005","WHITEPAPER implementation status; README status","The existing Implemented label combines symbols, parser surfaces, executable paths, and hardened behavior.","Publish capability-specific M1-M5 status and link the frozen baseline or generated capability appendix.","Release naming and which capabilities are committed remain decisions.",P1,recommended-factual-truth-repair,"Every current-status row links to capability IDs and evidence."
CQL-TR-003,"Correct grammar count and separate parse from execution","CQL-FND-HR-002;CQL-FND-HR-030","WHITEPAPER status; README; grammar commentary","The current top-level grammar has 22 alternatives and several lower to UNKNOWN or do not execute.","Replace the 27-statement claim with generated parse/lower/execute coverage.","Which reserved surfaces remain in the v1 grammar requires a decision.",P1,recommended-factual-truth-repair,"Generated statement ladder agrees with grammar and executable probes."
CQL-TR-004,"Remove parser error-recovery claim","CQL-FND-HR-003","WHITEPAPER implementation status; tooling docs","Malformed input raises and aborts; it does not recover to a later statement.","Describe normalized positional syntax errors without claiming recovery.","Whether to implement recovery later is a roadmap decision.",P1,recommended-factual-truth-repair,"Negative parser fixture demonstrates the published behavior."
CQL-TR-005,"Correct linter count and distinguish linter from runtime analyzer","CQL-FND-HR-004","WHITEPAPER status; README; tooling docs","The editor linter and runtime SemanticAnalyzer are separate surfaces with different rule coverage.","Generate rule counts and state which diagnostics run during Engine.execute.","Unifying the analyzers is an implementation decision.",P1,recommended-factual-truth-repair,"Generated diagnostic matrix covers both surfaces."
CQL-TR-006,"State that type definitions are not integrated","CQL-FND-HR-006","WHITEPAPER type system/status; README","The type lattice exists but is not integrated into the full semantic/runtime pipeline.","Label type-system definitions M2 and distinguish enforced checks.","Integration design remains a product decision.",P1,recommended-factual-truth-repair,"Type claims link to executable positive/negative checks."
CQL-TR-007,"Correct Polars and Arrow execution-target wording","CQL-FND-HR-008","WHITEPAPER execution adapters; README","DuckDB is the executable adapter; Polars and Arrow are result/provider conversion surfaces.","Describe actual adapter and output roles precisely.","Adding execution adapters remains roadmap work.",P1,recommended-factual-truth-repair,"Adapter inventory and public examples agree."
CQL-TR-008,"Qualify SQL pass-through and SQL:2016 conformance","CQL-FND-HR-007","WHITEPAPER design principles and conformance declaration","Every query must pass the bounded ContextQL grammar; SELECT 1 fails before DuckDB.","Replace unqualified pass-through/conformance language with an explicitly incomplete tested profile.","The desired conformance profile requires semantic adjudication.",P1,recommended-factual-truth-repair,"Published profile is backed by conformance fixtures."
CQL-TR-009,"Scope storage and performance claims to measured evidence","CQL-FND-HR-001","WHITEPAPER abstract; execution/storage sections; conclusion","Roaring/set snapshots and one 10M scenario are evidenced; Arrow/Parquet tiers, automatic tiering, broad MVCC, O(1), and platform-wide latency are not.","Separate current reference behavior, measured results, and target architecture; cite environment-specific benchmark data.","Target storage architecture and service objectives remain decisions.",P1,recommended-factual-truth-repair,"Every quantitative statement links to a reproducible raw artifact and environment."
CQL-TR-010,"Mark process analytics and conformance runtime as unrealised","CQL-FND-HR-014;CQL-FND-HR-030","WHITEPAPER process sections; capability status","Process/event surfaces parse or lower in places but do not have the documented end-to-end runtime.","Label syntax/model scaffolding separately from executable functions and conformance.","Process roadmap scope requires design-authority prioritisation.",P1,recommended-factual-truth-repair,"Statement/function ladder identifies executable and non-executable surfaces."
CQL-TR-011,"Update storage and lifecycle status for implemented v0.3 foundations","CQL-FND-HR-001;CQL-FND-HR-016;CQL-FND-HR-017","WHITEPAPER implementation status","Immutable snapshots, history, persistence, refresh scheduling, and four-state metadata exist beyond the old specified-only status.","Document these bounded foundations without equating them to the nine-state target architecture.","Normative lifecycle/freshness semantics require decisions.",P1,recommended-factual-truth-repair,"Status appendix links to snapshot/server capability and restart evidence."
CQL-TR-012,"Update server HTTP surface documentation","CQL-FND-HR-032","contextql-server README; WHITEPAPER connectivity section","Generated OpenAPI exposes 27 unversioned operations beyond query/health and differs from proposed /v1 routes.","Document generated current routes and label proposed versioned/connectivity surfaces separately.","Route versioning and stability policy require a decision.",P1,recommended-factual-truth-repair,"README route inventory matches generated OpenAPI."
CQL-TR-013,"Disclose server/core/application version mismatch","CQL-FND-HR-024;CQL-FND-HR-032","package metadata; FastAPI metadata; README; compatibility notes","Core reports 0.2.0, server package 0.1.0, and FastAPI 0.3.0.","State the frozen pair and current mismatch until one version policy is chosen.","Selecting version numbers and compatibility guarantees requires a decision.",P1,recommended-factual-truth-repair,"Package, application, docs, and compatibility manifest agree."
CQL-TR-014,"Correct decision-register counts and expose supersession state","CQL-FND-HR-009;CQL-FND-HR-011;CQL-FND-HR-012;CQL-FND-HR-013;CQL-FND-HR-017","DECISIONS summary; README/CLAUDE metadata","The register contains 101 decision headings and conflicting older/later entries lack explicit supersession fields.","Generate counts and add status/supersedes metadata after adjudication.","Which decisions supersede others requires design-authority approval.",P1,recommended-factual-truth-repair,"Generated decision index and validated supersession graph."
CQL-TR-015,"Separate generic streaming claims from connector synchronization","CQL-FND-HR-018;CQL-FND-HR-019","WHITEPAPER scheduling/future sections; status tables","General streaming/micro-batching is not implemented; DeepSee provides connector-specific ordered change synchronization.","Mark generic streaming as future and describe the connector behavior narrowly.","Future streaming architecture and version target remain decisions.",P1,recommended-factual-truth-repair,"Current capability appendix contains no generic streaming claim."
CQL-TR-016,"Disclose explain endpoint execution semantics","CQL-FND-HR-021","WHITEPAPER REST section; server API docs","POST /query/explain executes normal query service behavior and returns rows plus trace.","Describe observed execution-and-trace behavior until endpoint semantics are adjudicated.","Whether explain must become dry/non-mutating is a safety decision.",P1,recommended-factual-truth-repair,"API documentation and side-effect probe agree."
CQL-TR-017,"Document provider and identity registry boundaries","CQL-FND-HR-022;CQL-FND-HR-023","server README; control-plane architecture; capability status","Provider metadata is not hydrated into runtime providers; identity confidence/mode are metadata while runtime uses exact path pairs.","Describe persistent registries without claiming generic brokerage or global confidence-based resolution.","Activation, health, and identity architecture require decisions.",P1,recommended-factual-truth-repair,"Restart-to-query and identity behavior tests support any stronger claim."
CQL-TR-018,"Record test-suite import-order sensitivity","CQL-FND-HR-031","test/evidence report; CI notes","The optional Polars test fails or passes based on whether Polars is already present in sys.modules.","Keep both observed runs in evidence and flag the default suite as nondeterministic until repaired.","No language-design decision is required.",P2,recommended-factual-truth-repair,"Clean CI matrix passes with and without each optional dependency."
