finding_id,title,claim_ids,capability_ids,evidence_ids,competing_evidence,gap_classification,dimensions,severity,confidence,adversarial_conclusion,required_adjudication,next_evidence
CQL-FND-HR-001,"Three-tier storage and broad latency claims exceed evidence","CQL-WP-55617C0F6BB4;CQL-WP-B537AEBC3005;CQL-WP-5300CA5B3607;CQL-WP-82FD38E9BF97","CQL-CORE-BMP-001;CQL-CORE-BEN-001;CQL-CORE-SNP-001;CQL-SRV-PER-002;CQL-SRV-PER-004","Phase3 limitation: benchmark not regenerated","Whitepaper claims hot Roaring, warm Arrow, cold Parquet, promotion/demotion, millisecond retrieval, sub-microsecond set operations, and MVCC query isolation. Core has set/Roaring in-memory snapshots and one committed 10M scenario; Arrow/Polars are result conversions, no warm/cold tiers or tier movement exist, and Phase 3 did not rerun the benchmark. Server proves SQLite atomic publication, not general MVCC isolation.",V,"storage;performance;operations",P1,high,"The conclusion presents an architectural target as a current platform-wide performance fact. Existing bitmap and benchmark work supports only a narrowly scoped reference result.","Choose whether the whitepaper is describing target architecture or the pinned release; approve bounded benchmark wording and the meaning of MVCC/isolation.","Regenerate the committed benchmark from a clean frozen environment; add concurrent reader/refresh isolation probes; either implement Arrow/Parquet tiers or mark them future."
CQL-FND-HR-002,"Grammar status count is stale and grammar acceptance is over-read","CQL-WP-98F4FAD2C112","CQL-CORE-PAR-001;CQL-CORE-PAR-002;CQL-CORE-EVT-001;CQL-CORE-PRC-001;CQL-CORE-SEC-001","P3-LAD-009;P3-EXE-010;P3-LAD-011;P3-EXE-012;P3-LAD-015;P3-EXE-016","The whitepaper says 27 implemented statement types and full expression grammar. The current top-level grammar has 22 statement alternatives, calls itself a non-normative-complete scaffold, and multiple accepted statements lower to UNKNOWN or fail execution.",D,"syntax;narrative",P1,high,"A count of grammar alternatives is volatile and does not establish implemented language capability.","Approve generated syntax-surface reporting and separate parse, lower, and execute maturity in public status tables.","Generate grammar production counts in CI and add a parse/lower/execute conformance matrix for every top-level statement."
CQL-FND-HR-003,"Parser has no error recovery contract","CQL-WP-A6BF8026647E","CQL-CORE-PAR-001","P3-PAR-001","The whitepaper labels the parser 'with error recovery'; malformed first input raises ContextQLSyntaxError and prevents a later valid statement from being returned. Parser code normalizes one failure and re-raises; it has no synchronization/recovery loop.",D,"syntax;devx",P1,high,"The implemented parser has useful normalized diagnostics, not recovery.","Decide whether recovery is required for files/editor workflows or whether the status claim should say error reporting only.","Add a recovery fixture containing malformed and later valid statements, or remove recovery wording."
CQL-FND-HR-004,"Linter rule count is stale and coverage is incomplete","CQL-WP-50D6543E9F5B","CQL-CORE-LNT-001;CQL-CORE-ERR-001","Core test suite: tests/test_linter.py","The whitepaper says 11 rules; ContextQLLinter.lint invokes 12 rules. Many registered semantic/runtime codes are not linter rules and the catalog is in-memory.",D,"semantics;devx;narrative",P2,high,"The linter is implemented and tested, but a hand-maintained count is already wrong and can be mistaken for semantic completeness.","Approve generated rule registry/status wording.","Derive the count and rule table from code; map each normative semantic rule to its actual emitter and tests."
CQL-FND-HR-005,"Implemented table conflates symbol presence with complete public capability","CQL-WP-0F505A79FBF6;CQL-WP-F228AE7F7D21;CQL-WP-43FC729B33FF;CQL-WP-BFCBE3CEEEE8;CQL-WP-E3B8886B7508;CQL-WP-3D7A04797C8A;CQL-WP-EE5390AD2C7D;CQL-WP-9916AFDF9E75;CQL-WP-C7029208A2D8;CQL-WP-136DFA39E461;CQL-WP-AB9662F8BB46;CQL-WP-AA923378143D;CQL-WP-F19F88419F29","CQL-CORE-SEM-001;CQL-CORE-QRY-001;CQL-CORE-API-001;CQL-CORE-BLD-001;CQL-CORE-CLI-001;CQL-CORE-JUP-001;CQL-CORE-LSP-001;CQL-CORE-MCP-001;CQL-CORE-REM-001","Core 554 passed/1 failed/1 skipped; Phase3 parse/lower/execute ladder","Each named component exists, but important limits are hidden: unsupported statement kinds, incomplete scoring, no CLI watch/test commands, untested magics, no LSP live metadata/go-to-definition, one adapter, and no operational provider broker. Several cited paths are stale after providers became a package.",D,"api;devx;narrative",P1,high,"Most atomic existence claims are narrowly true, yet the undifferentiated 'Implemented' heading materially inflates end-to-end maturity.","Adopt M-level or precise status labels in the whitepaper appendix and define what 'implemented' means for a component.","For each status row link executable contract tests and negative boundaries; correct stale paths and generate API/tooling inventories."
CQL-FND-HR-006,"Type-system implementation is an unintegrated duplicate","CQL-WP-0AD481B63995","CQL-CORE-TYP-001;CQL-CORE-SEM-001","Static evidence: contextql/types.py:3-4","The whitepaper lists type-system definitions as implemented. contextql/types.py explicitly says integration is TODO; semantic.py defines a second EntityKeyType and executor validation is largely string/metadata based.",P,"semantics;runtime",P1,high,"Types exist as a surface, but there is no single type authority or end-to-end type checker supporting the whitepaper's type-system claim.","Choose the canonical type model and the v1 enforcement boundary.","Add type conformance fixtures from declarations through analyzer and executor; remove or integrate the duplicate module."
CQL-FND-HR-007,"Standard SQL does not pass through unchanged","CQL-WP-9E08C9D03070;CQL-WP-46D55A59C26F","CQL-CORE-PAR-002;CQL-CORE-QRY-001","P3-SQL-001","The whitepaper twice promises unchanged standard SQL pass-through. SELECT 1 fails because FROM is required; all input must first satisfy the Lark subset and supported statements are reconstructed before DuckDB execution.",V,"syntax;semantics;compatibility",P1,high,"The pinned engine is SQL-like and DuckDB-backed, not transparent SQL:2016 pass-through.","Approve an explicit dialect/conformance profile and compatibility policy.","Build positive and negative SQL conformance fixtures by feature/dialect; rewrite both claims to the measured subset."
CQL-FND-HR-008,"Polars and Arrow are outputs, not execution targets","CQL-WP-8D44BBF86B38","CQL-CORE-ADP-001;CQL-CORE-RES-001","Core tests/test_result.py; Phase3 optional-dependency observation","Whitepaper says execution targets DuckDB, Polars, and Arrow. Only DuckDBAdapter executes queries; Polars and Arrow occur in Result conversion.",D,"execution;api",P1,high,"The current claim incorrectly promotes output interoperability to adapter execution support.","Decide whether Polars/Arrow adapters remain planned or are removed from current architecture wording.","Add adapter contract tests for any claimed target; otherwise relabel them as optional result formats."
CQL-FND-HR-009,"Score-range warning code conflicts across authorities","CQL-WP-9A51E8EA195F","CQL-CORE-LNT-001;CQL-CORE-ERR-001","Static registry and linter tests","Whitepaper assigns out-of-range score warning W100; SPEC and implementation assign W100 to stale snapshots and W003 to score range. DECISIONS requires a warning but does not reconcile the code collision.",C,"semantics;diagnostics",P1,high,"Clients cannot rely on warning-code identity while three authorities assign different meanings.","Design authority must establish a generated canonical code registry and explicit supersession entries.","Add tests that emit each warning from the public API and validate docs/spec against the registry."
CQL-FND-HR-010,"Score domain and nullability are not enforced as claimed","CQL-WP-1A9CBE1C60B3;CQL-WP-57402B0A131A","CQL-CORE-SCR-001;CQL-CORE-LNT-001","Core tests/test_executor.py; static scoring TODO","Whitepaper types CONTEXT_SCORE as [0,1] or NULL/unbounded only explicitly. Runtime weights and accumulation can exceed 1, missing scores become 0 or membership-derived 1, and the linter warning is heuristic rather than a type/domain guarantee.",S,"semantics;types;runtime",P1,high,"The public score contract mixes recommended range, type domain, null behavior, and aggregation without executable normative rules.","Settle normalization, null, negation, weighting, and aggregation semantics.","Create a score conformance suite covering out-of-range values, missing scores, negative/zero weights, multiple contexts, negation, and every strategy."
