gap_id,title,claim_ids,finding_ids,capability_ids,probe_ids,gap_classification,dimensions,severity,confidence,current_state,recommended_disposition,closure_stream,decision_required,decision_packet_hint,acceptance_evidence,dependencies
CQL-GAP-001,"Three-tier storage, isolation, and performance claims exceed evidence",CQL-WP-5300CA5B3607;CQL-WP-55617C0F6BB4;CQL-WP-7B607BB80EA6;CQL-WP-82FD38E9BF97;CQL-WP-B537AEBC3005,CQL-FND-HR-001,CQL-CORE-BEN-001;CQL-CORE-BMP-001;CQL-CORE-CTX-002;CQL-CORE-MCP-001;CQL-CORE-REM-001;CQL-CORE-SCR-001;CQL-CORE-SNP-001;CQL-SRV-PER-002;CQL-SRV-PER-004,,V,storage;performance;operations;narrative,P1,high,M3 for bitmap/snapshot paths; M0-M1 for warm/cold tiering and platform-wide isolation claims,"awaiting-design-authority: classify the three-tier model as current, committed target, or reference design; immediately bound published performance wording to reproducible evidence",truth-repair;contract-repair;hardening,yes,"What storage tiers and isolation guarantees are normative for the pinned release, and which exact benchmark claims may be published?",Reproducible frozen benchmark; concurrent reader/refresh isolation probes; status-qualified storage architecture; documentation-to-evidence consistency check,storage architecture decision; benchmark environment
CQL-GAP-002,Grammar status conflates accepted syntax with executable language support,CQL-WP-98F4FAD2C112,CQL-FND-HR-002,CQL-CORE-EVT-001;CQL-CORE-PAR-001;CQL-CORE-PAR-002;CQL-CORE-PRC-001;CQL-CORE-SEC-001,,D,syntax;runtime;devx;narrative,P1,high,M2 broad grammar surface with uneven M2-M4 lowering and execution,Replace volatile counts and undifferentiated support claims with a generated parse/lower/analyze/execute/persist matrix,truth-repair;hardening,no,none; this is factual maturity reporting,Generated production count and statement ladder validated in CI; public status table distinguishes each maturity boundary,none
CQL-GAP-003,Parser recovery is claimed but not implemented,CQL-WP-A6BF8026647E,CQL-FND-HR-003,CQL-CORE-PAR-001,P3-PAR-001,D,syntax;devx;narrative,P1,high,M4 normalized fail-fast diagnostics; no recovery contract,awaiting-design-authority: choose editor/file recovery as a required capability or revise the claim to error reporting only,truth-repair;contract-repair,yes,"Must parsing recover after a malformed statement, and what synchronization boundary is required?",Malformed-then-valid multi-statement fixture returns the later statement if recovery is chosen; otherwise all recovery wording is removed,parser contract decision
CQL-GAP-004,Linter rule inventory is stale and not generated,CQL-WP-50D6543E9F5B,CQL-FND-HR-004,CQL-CORE-ERR-001;CQL-CORE-LNT-001,,D,semantics;devx;narrative,P2,high,M5 implemented linter with a stale hand-maintained count,Generate the rule inventory from the canonical registry and map each normative rule to emitter and tests,truth-repair;hardening,no,none; retain existing behavior and report it precisely,Generated rule count/table matches runtime registration; each published rule has positive and negative tests,none
CQL-GAP-005,Implemented status table hides capability-specific maturity,CQL-WP-0F505A79FBF6;CQL-WP-136DFA39E461;CQL-WP-3D7A04797C8A;CQL-WP-43FC729B33FF;CQL-WP-9916AFDF9E75;CQL-WP-AA923378143D;CQL-WP-AB9662F8BB46;CQL-WP-BFCBE3CEEEE8;CQL-WP-C7029208A2D8;CQL-WP-E3B8886B7508;CQL-WP-EE5390AD2C7D;CQL-WP-F19F88419F29;CQL-WP-F228AE7F7D21,CQL-FND-HR-005,CQL-CORE-ADP-001;CQL-CORE-API-001;CQL-CORE-BLD-001;CQL-CORE-CLI-001;CQL-CORE-ERR-001;CQL-CORE-JUP-001;CQL-CORE-LNT-001;CQL-CORE-LSP-001;CQL-CORE-MCP-001;CQL-CORE-PRV-001;CQL-CORE-QRY-001;CQL-CORE-REM-001;CQL-CORE-RES-001;CQL-CORE-SCR-001;CQL-CORE-SEM-001,P3-EXE-008;P3-LAD-007,D,api;runtime;devx;narrative,P1,high,M2-M5 capabilities grouped under one unqualified Implemented label,"Replace the bundled status list with capability-level M0-M6 labels, exact public symbols, negative boundaries, and current paths",truth-repair;hardening,no,none; this is evidence-based status normalization,Every listed component links to a current symbol and executable contract; stale paths and unsupported subcommands/features are absent or explicitly bounded,none
CQL-GAP-006,Type system has duplicate authorities and no end-to-end enforcement,CQL-WP-0AD481B63995,CQL-FND-HR-006,CQL-CORE-SEM-001;CQL-CORE-TYP-001,,P,semantics;types;runtime,P1,high,M2 type surfaces; integration explicitly TODO,awaiting-design-authority: select the canonical type model and the v1 enforcement boundary before integrating or removing the duplicate,contract-repair;vertical-slice-completion,yes,"Which type representation is canonical, and which declaration/analyzer/executor boundaries must enforce it in v1?",Declaration-to-executor type conformance fixtures; one canonical EntityKeyType; duplicate module removed or integrated,type-system decision
CQL-GAP-007,Transparent standard SQL pass-through is not supported,CQL-WP-46D55A59C26F;CQL-WP-9E08C9D03070,CQL-FND-HR-007,CQL-CORE-ADP-001;CQL-CORE-PAR-001;CQL-CORE-PAR-002;CQL-CORE-QRY-001,P3-SQL-001,V,syntax;semantics;compatibility;narrative,P1,high,M4 ContextQL SQL-like subset gated by Lark before DuckDB,awaiting-design-authority: approve an explicit dialect and compatibility profile; revise pass-through claims to the measured subset,truth-repair;contract-repair;hardening,yes,"What SQL dialect/profile is promised, and are unsupported standard statements rejected, escaped to the adapter, or added incrementally?",Positive and negative conformance suite by SQL feature/dialect; published profile and compatibility policy; SELECT without FROM has an intentional result,SQL conformance decision
CQL-GAP-008,Polars and Arrow outputs are described as execution targets,CQL-WP-8D44BBF86B38,CQL-FND-HR-008,CQL-CORE-ADP-001;CQL-CORE-RES-001,,D,execution;api;narrative,P1,high,M4 DuckDB execution adapter; M3 optional Polars/Arrow result conversion,awaiting-design-authority: either retain Polars/Arrow adapters as planned work or describe them only as output formats,truth-repair;contract-repair,yes,Are Polars and Arrow execution adapters committed capabilities or only result interoperability?,"Adapter contract tests for every claimed target, or whitepaper architecture consistently labels Polars/Arrow as result formats",execution-target decision
CQL-GAP-009,Diagnostic code ownership conflicts across authorities,CQL-WP-945AA0A449F8;CQL-WP-9A51E8EA195F,CQL-FND-HR-009;CQL-FND-HR-012,CQL-CORE-CTX-001;CQL-CORE-CTX-002;CQL-CORE-ERR-001;CQL-CORE-LNT-001;CQL-CORE-QRY-001;CQL-CORE-SCR-001;CQL-CORE-TYP-001,,C,semantics;diagnostics;compatibility;devx,P1,high,"M4 emitters exist, but stable public code identities conflict across whitepaper, SPEC, README, and registry",awaiting-design-authority: establish one generated diagnostic registry with explicit supersession entries for W100/W003 and E108/E111,contract-repair;hardening,yes,"Which codes canonically identify score range and CONTEXT_SCORE scope errors, and how are conflicting published assignments superseded?",Public API emits every canonical code; docs/SPEC/README validate against generated registry; supersession mapping is recorded,diagnostic registry decision
CQL-GAP-010,"Score domain, null behavior, and strategy algebra lack one executable contract",CQL-WP-1A9CBE1C60B3;CQL-WP-1D2DDED23602;CQL-WP-526B2E1EC29D;CQL-WP-57402B0A131A;CQL-WP-656B8DB419DD;CQL-WP-90C1D0CF874A,CQL-FND-HR-010;CQL-FND-HR-029,CQL-CORE-BMP-001;CQL-CORE-CMP-001;CQL-CORE-CTX-002;CQL-CORE-CTX-003;CQL-CORE-LNT-001;CQL-CORE-PUS-001;CQL-CORE-QRY-001;CQL-CORE-SCR-001;CQL-CORE-SEM-001;CQL-CORE-TYP-001,,S,semantics;types;runtime,P1,high,M3 fixed accumulation behavior behind M2 syntax for multiple advertised strategies,"awaiting-design-authority: settle score domain, normalization, null/missing values, weighting, negation, aggregation formulas, and tie-breaking",contract-repair;vertical-slice-completion;hardening,yes,What are the normative formulas and boundary behaviors for every score strategy and context-algebra operator?,"Golden matrix for every strategy across union/intersection/negation, missing and out-of-range scores, weights, ties, and snapshots",score semantics decision; canonical type model
CQL-GAP-011,Temporal qualifiers have incompatible meanings,CQL-WP-63B55DC68187;CQL-WP-7D5BDE108A84,CQL-FND-HR-011,CQL-CORE-CMP-001;CQL-CORE-DDL-001;CQL-CORE-DDL-002;CQL-CORE-HIS-001;CQL-CORE-OPT-001;CQL-CORE-PAR-003;CQL-CORE-SNP-001,,V,semantics;storage;compatibility,P1,high,M4 membership-history AT/BETWEEN behavior conflicts with temporal-column whitepaper semantics,awaiting-design-authority: explicitly supersede one meaning or introduce distinct syntax for event-time filtering and membership-history queries,contract-repair;hardening,yes,"Do AT and BETWEEN filter definition columns, replay membership history, select snapshots, or require distinct operators?",Normative fixtures distinguish the candidate models on identical data; retention and BETWEEN score behavior are specified; supersession is recorded,temporal semantics decision
CQL-GAP-012,"Scoreless CONTEXT WINDOW legality, ordering, and code conflict",CQL-WP-F6B02C9B10FA,CQL-FND-HR-013,CQL-CORE-ERR-001;CQL-CORE-SCR-001;CQL-CORE-WIN-001,,C,semantics;diagnostics;devx;runtime,P1,high,"M3 executable windowing with conflicting warning, legality, and deterministic-order contracts",awaiting-design-authority: choose legal-with-warning versus invalid and define unscored truncation order; then align the diagnostic registry,contract-repair;hardening,yes,"Is a scoreless window legal, what ordering applies, and which canonical diagnostic identifies it?","End-to-end fixtures on unsorted keys prove legality, ordering, ties, and emitted code; hover/SPEC/registry agree",window semantics decision; diagnostic registry decision
CQL-GAP-013,Analytical and process-intelligence semantics lack an executable runtime,CQL-WP-0E5BB26C9F00;CQL-WP-0E6BAEAC9334;CQL-WP-1AA9D0E7E560;CQL-WP-1EEB5D6234B4;CQL-WP-293781313801;CQL-WP-379CFC1E7960;CQL-WP-3DDEFC32743A;CQL-WP-41892100225A;CQL-WP-4BE824557591;CQL-WP-577D01DE1882;CQL-WP-592FD7422C0C;CQL-WP-6564DF5E59FF;CQL-WP-6AAE1101C34B;CQL-WP-6C2FBFB33076;CQL-WP-6EF8084DD356;CQL-WP-7664F5927A75;CQL-WP-8456FB60A256;CQL-WP-884179CDA117;CQL-WP-8D9A05AB3DB6;CQL-WP-95B19CA9EAB6;CQL-WP-9A7287F9E5B7;CQL-WP-9C295B528B16;CQL-WP-A03C9942452A;CQL-WP-A0461BEE69A5;CQL-WP-AF0CEF665487;CQL-WP-B066E922B6C2;CQL-WP-BB5E82C7FCCB;CQL-WP-CB219181F291;CQL-WP-D9726F61A7C4;CQL-WP-DEEA6D64D68C;CQL-WP-E0B33BFAED44;CQL-WP-EB9C16129078,CQL-FND-HR-014,CQL-CORE-EVT-001;CQL-CORE-PRC-001,P3-EXE-012;P3-LAD-011,I,process;semantics;runtime;performance,P1,high,M1-M2 detailed function/process contracts and syntax scaffolding; no process execution subsystem,"awaiting-design-authority: classify analytical/process intelligence as normative v1, later committed work, or reference design before retaining executable and complexity claims",truth-repair;contract-repair;vertical-slice-completion,yes,"Which analytical and process functions are normative for the next release, and what is the minimum event-log/process-model vertical slice?","Selected functions execute against declared event logs with null, complexity, conformance, persistence, composition, and negative fixtures; all others carry an explicit non-current state",process scope decision; event-log DDL maturity
CQL-GAP-014,OCEL forward-compatibility assurance is unproved,CQL-WP-48719858EA50;CQL-WP-C5C16B448A02;CQL-WP-EC85D026E6E7,CQL-FND-HR-015,CQL-CORE-EVT-001;CQL-CORE-PRC-001,P3-EXE-012;P3-LAD-011,T,process;compatibility;roadmap,P2,high,M1 explicit deferral; M2 current DDL shape; compatibility remains hypothetical,awaiting-design-authority: retain deferral and classify forward-compatible as a requirement or aspiration,truth-repair;contract-repair;hardening,yes,Is preserving an OCEL migration path a committed compatibility requirement for current event-log identifiers and catalog shapes?,"OCEL extension sketch plus migration/evolution fixture, or softened aspiration wording",event-log contract; OCEL scope decision
CQL-GAP-015,Nine-state lifecycle and query visibility are not enforced,CQL-WP-05D01220C579;CQL-WP-0DE66027C15A;CQL-WP-17EA58076442;CQL-WP-2CC5775EC1F4;CQL-WP-6171EA13A4C2;CQL-WP-66DB2AA5B51F;CQL-WP-74B0641FF237;CQL-WP-7916E6D4E504;CQL-WP-92AA67AD67CB;CQL-WP-93408FFA7C4D;CQL-WP-BF1F3291584C;CQL-WP-D71BB7D52680,CQL-FND-HR-016,CQL-CORE-AUD-001;CQL-CORE-BEN-001;CQL-CORE-BMP-001;CQL-CORE-CTX-002;CQL-CORE-DDL-001;CQL-CORE-LIF-001;CQL-CORE-MCP-001;CQL-CORE-REM-001;CQL-CORE-SCR-001;CQL-CORE-SNP-001;CQL-SRV-CAT-001;CQL-SRV-CAT-002;CQL-SRV-CAT-003;CQL-SRV-CAT-004;CQL-SRV-CAT-005;CQL-SRV-CAT-006;CQL-SRV-CAT-008;CQL-SRV-SCH-001,,V,lifecycle;runtime;api;operations,P1,high,M3-M4 catalog state metadata and selected endpoints; no canonical nine-state FSM or query gate,"awaiting-design-authority: choose states, legal transitions, core/server create semantics, and query visibility before implementation or prose alignment",contract-repair;vertical-slice-completion;hardening,yes,"What is the canonical lifecycle FSM across core and server, including restart behavior and query visibility in every state?","Transition matrix with invalid-transition, restart, concurrent refresh, and per-state query tests across core and HTTP",lifecycle decision
CQL-GAP-016,"Freshness vocabulary, diagnostics, and refresh policies conflict",CQL-WP-1A867374DEE3;CQL-WP-3FCC4C832E5F;CQL-WP-9B44A1743052;CQL-WP-FFCA3426B13A,CQL-FND-HR-017,CQL-CORE-AUD-001;CQL-CORE-DDL-001;CQL-CORE-DDL-002;CQL-CORE-ERR-001;CQL-CORE-HIS-001;CQL-CORE-LIF-001;CQL-CORE-OPT-001;CQL-CORE-SNP-001;CQL-SRV-CAT-001;CQL-SRV-CAT-002;CQL-SRV-CAT-003;CQL-SRV-CAT-004;CQL-SRV-CAT-005;CQL-SRV-CAT-006;CQL-SRV-CAT-008;CQL-SRV-PER-004;CQL-SRV-SCH-001,,V,freshness;lifecycle;diagnostics;operations,P1,high,M3 stale_after and polling scheduler paths; documented max_staleness/strict policy branches and codes are absent,"awaiting-design-authority: adopt one freshness model and decide whether stale reads warn, trigger work, block, or fail",contract-repair;vertical-slice-completion;hardening,yes,"What are the canonical freshness thresholds, actions, diagnostic codes, dependency-version behavior, and restart guarantees?",Clock-controlled stale/very-stale/failed-refresh/dependency-version tests across core/server and restart; canonical terms and codes generated into docs,lifecycle decision; diagnostic registry decision
CQL-GAP-017,Current-tense v1 streaming claims contradict explicit deferral,CQL-WP-3D6733377440;CQL-WP-4633954A88FF;CQL-WP-7ADB781864CA;CQL-WP-9FE16BD53DD7;CQL-WP-A608F1F3F3E1;CQL-WP-DF1416B35A07,CQL-FND-HR-018,CQL-CORE-HIS-001;CQL-CORE-OPT-001;CQL-CORE-SNP-001;CQL-SRV-DS-004;CQL-SRV-PER-004;CQL-SRV-SCH-001,,C,streaming;operations;narrative,P1,high,M0-M1 generic streaming; M3 connector-specific change-feed synchronization,"Confirm deferral, separate connector incremental synchronization from generic streaming, and remove current-release assertions",truth-repair;contract-repair,no,none; accepted evidence already establishes deferral unless design authority reopens scope,"All current-status prose labels generic streaming deferred; any future slice has delivery, watermark, replay, failure, and load contracts",future streaming intake
CQL-GAP-018,Detailed future prose leaks status without roadmap decisions,CQL-WP-0E0C6F65E3BA;CQL-WP-D7EFCF9EB86B,CQL-FND-HR-019,CQL-CORE-ADP-001;CQL-CORE-IDN-001;CQL-SRV-SEC-001,,R,roadmap;narrative,P2,high,M0 future directions with detailed present-tense architecture nearby,"awaiting-design-authority: classify each future item as committed, incubating, or illustrative; add sponsor, experiment, and target maturity only when promoted",truth-repair;contract-repair,yes,Which future capabilities are committed roadmap outcomes versus research directions or illustrative architecture?,"Future sections visually separated; promoted items have problem, sponsor, decision state, dependency path, and falsifiable experiment",roadmap authority
