authority_id,claim_type,primary_intent_authority,primary_behavior_evidence,verification_evidence,authority_rule,conflict_disposition
AUTH-001,Strategic purpose and category,"WHITEPAPER.md principles plus current accepted strategic decisions","End-to-end product surfaces and use cases at the pinned commits","Scenario review and human design-authority approval","Whitepaper may establish thesis but cannot establish shipped status","Record C or V gap and submit a decision packet"
AUTH-002,Language syntax,"SPEC.md plus current accepted decisions","grammar/contextql.lark and parser behavior at the pinned core commit","Positive and negative parser tests","Accepted decision outranks specification prose; grammar proves accepted input only","Record C or V gap; do not infer semantics from grammar"
AUTH-003,Language semantics,"SPEC.md plus current accepted DECISIONS.md entries","Semantic models, validation, lowerer, executor, and DDL runtime at the pinned core commit","Semantic, integration, negative, and conformance tests","Implementation demonstrates behavior but cannot supersede accepted intent silently","Record V, I, S, or T gap and prepare a decision packet when intent conflicts"
AUTH-004,Public Python API,"Current accepted API decisions and published API documentation","Exported symbols, signatures, and callable behavior at the pinned core commit","Contract, compatibility, example, and negative tests","Exports prove surface presence only; documentation cannot prove callable behavior","Record D, P, V, or T gap"
AUTH-005,Server API,"Current accepted API/version decisions and published server documentation","FastAPI routes, request/response models, and OpenAPI output at the pinned server commit","HTTP integration, error, authorization, persistence, and compatibility tests","Routes and models prove surface presence only; public behavior includes failure contracts","Record D, P, V, I, or T gap"
AUTH-006,Persistence and lifecycle,"Current storage/lifecycle decisions and applicable normative specification","Migrations, repositories, services, transitions, and startup restoration at the pinned commits","Restart, migration, transition, recovery, and failure tests","In-memory or happy-path behavior is not proof of durable lifecycle support","Record P, V, I, S, or T gap; escalate state-model conflicts"
AUTH-007,Federation and identity,"Current protocol, failure-policy, and identity decisions","Provider contracts, connectors, broker paths, and identity maps at the pinned commits","Contract, timeout, mismatch, boundedness, partial-failure, and cross-system tests","Mocks and extension points are partial evidence and not proof of federation maturity","Record P, V, I, S, or T gap"
AUTH-008,Security and governance,"Current security decisions, threat model, and explicit policy requirements","Authorization enforcement, tenant boundaries, credential handling, storage controls, and audit implementation","Abuse cases, authorization tests, tenant-isolation tests, audit-integrity evidence, and security review","Security prose or audit-event models do not prove enforcement","Record P0/P1 gap and require human adjudication before weakening a claim"
AUTH-009,Performance and scale,"Explicitly scoped approved claim or benchmark requirement","Benchmark code, data generator, engine configuration, and bounded runtime path at the pinned commit","Reproducible raw benchmark artifact with correctness checks and complete environment metadata","A benchmark script or anecdotal run does not support a published claim","Record T or V gap; narrow or remove unsupported claim"
AUTH-010,Implementation maturity,"METHODOLOGY.md M0–M6 rules and current accepted release criteria","Reachable integrated behavior across the relevant pinned layers","Tests, public probes, restart/failure evidence, operational data, and independent review appropriate to the level","Maturity is the minimum level supported across required layers, not the strongest isolated artifact","Relabel maturity and record P or T gap"
AUTH-011,Future intent,"Approved roadmap or current accepted decision","Prototype code may be supporting evidence only","Exit criteria, experiment results, or validated problem evidence","Proposal, TODO, branch, presentation, or historical plan is not an approved commitment","Record R or U; route through feature intake and human decision"
AUTH-012,Documentation status and examples,"Current accepted intent plus the capability register","Pinned implementation reached through the documented public surface","Executable example or focused conformance test","Documentation is evidence of a claim, not evidence that the claim is true","Record D, C, V, or T gap"
AUTH-013,Historical provenance,"Immutable Git commit and repository history","Diff, blame, tag, and commit metadata","Independent SHA and path verification","History explains when or where a change occurred; it never decides intended semantics","Use as provenance only and escalate substantive conflict to the applicable authority"
