decision_id,topic,exact_question,claim_ids,finding_ids,capability_ids,probe_ids,current_accepted_decisions,supersession_issue,options,recommendation,proposed_disposition,compatibility_migration_impact,minimum_acceptance_evidence,owner,state
CQL-P5-LANG-001,authority-and-supersession,"What artifact establishes intended syntax and semantics, what evidence establishes shipped behavior, and how must a later decision replace an earlier conflicting decision?","CQL-WP-95325AAF2949;CQL-WP-21CE7759130B;CQL-WP-98F4FAD2C112","CQL-FND-HR-002;CQL-FND-HR-009;CQL-FND-HR-011;CQL-FND-HR-030","CQL-CORE-PAR-001;CQL-CORE-ERR-001;CQL-CORE-HIS-001","P3-LAD-009;P3-EXE-010;P3-LAD-015;P3-EXE-016","AUTH-002;AUTH-003;AUTH-010;AUTH-012;AUTH-013;IM-1","DECISIONS.md has no per-entry acceptance or replacement metadata; OQ-9 conflicts with CS-16/CS-22; grammar acceptance is being over-read as semantic support.","1 implicit newest-wins; 2 explicit lifecycle and supersedes links; 3 implementation is de facto normative","Choose option 2: accepted decisions govern scoped intent, SPEC fills uncovered intent, grammar proves syntax only, implementation/tests prove behavior, whitepaper explains architecture, history provides provenance.",governance-repair,"Metadata-first, but exposes hidden breaks; every supersession must carry version scope, compatibility and persisted-definition migration consequences.","Reviewed authority table; validated decision schema; bidirectional replacement links; CI for conflicting active scopes/dangling IDs; generated active-decision index; temporal conflict used as first fixture.",design-authority,recommended-awaiting-decision
CQL-P5-LANG-002,temporal-at-between,"Does AT timestamp filter a definition's temporal column or replay membership history; what does BETWEEN return and score; how does AT VERSION differ?","CQL-WP-63B55DC68187;CQL-WP-7D5BDE108A84;CQL-WP-31665F0088EE",CQL-FND-HR-011,"CQL-CORE-HIS-001;CQL-CORE-SNP-001;CQL-CORE-BMP-001","none-assigned (tests/test_hardening_plan.py:258-458)","OQ-9;CS-16;CS-22","OQ-9 says temporal-column filtering while CS-16/CS-22 and SPEC say membership-history replay; no explicit replacement link exists.","1 retain temporal-column filtering; 2 accept history replay and supersede OQ-9; 3 retain both with distinct syntax","Choose option 2 for the current release; AT timestamp and inclusive BETWEEN replay retained history, AT VERSION selects an immutable snapshot; assess distinct row-time syntax separately.","decision-supersession;whitepaper-repair;boundary-implementation-repair","Queries authored under OQ-9 may change membership/scores; release-note the semantic break and provide a rewrite/new-syntax path for row-time filtering.","Same-row distinguishing fixtures; UTC/granularity/boundary/reversed-range tests; add-remove-readd/score history; retention E202; AT VERSION immutability; restart tests; stable probes; explicit OQ-9 replacement metadata.",design-authority,recommended-awaiting-decision
CQL-P5-LANG-003,then-semantics,"Is c1 THEN c2 candidate-scoped staged evaluation, ordered event-time matching, or set intersection?","CQL-WP-A9DD818D939D;CQL-WP-09F05D8E1348;CQL-WP-CD2EFEC6AEEC;CQL-WP-0BBB9FF0628A;CQL-WP-C1B33A3FEAAC;CQL-WP-DC0357CD8F3E",CQL-FND-HR-028,CQL-CORE-CTX-003,P3-CTX-001,OQ-6,"OQ-6 decides chain length/associativity only; whitepaper staged semantics, SPEC temporal sequence, and runtime intersection are incompatible.","1 candidate-scoped staged evaluation; 2 ordered temporal sequence; 3 alias/deprecate as intersection","Choose option 1 for THEN with left-associative candidate propagation and final-stage score; use a distinct future process/history construct for ordered events.","specification-repair;implementation-repair;whitepaper-precision","Pure membership can remain intersection-equivalent, but provider calls, latency, failures, traces and scores change; expose propagation in explain/trace.","Instrumented candidate-sensitive second stage; two/three-stage associativity; downstream-score goldens; mixed-source cases; empty short-circuit; timeout/failure and key mismatch; trace candidate counts; negative not-intersection proof.",design-authority,recommended-awaiting-decision
CQL-P5-LANG-004,scoring-negation-normalization,"What algebra governs union, intersection, weighting, bindings, NULL/missing scores and negation; which strategies are public; are out-of-range scores warned, normalized, clamped or rejected?","CQL-WP-1A9CBE1C60B3;CQL-WP-57402B0A131A;CQL-WP-90C1D0CF874A;CQL-WP-656B8DB419DD;CQL-WP-526B2E1EC29D;CQL-WP-1D2DDED23602;CQL-WP-3FA78AA50272;CQL-WP-1454AD1EFB36;CQL-WP-8CBE358B6C1D;CQL-WP-1055CD7F34B6","CQL-FND-HR-010;CQL-FND-HR-029","CQL-CORE-SCR-001;CQL-CORE-CTX-002;CQL-CORE-LNT-001","none-assigned (tests/test_executor.py; executor scoring TODO)","OQ-2;OQ-3;AD-4;AD-5;GQ-6","Accepted formulas are incompletely implemented; grammar advertises seven strategies; runtime uses ad hoc accumulation; [0,1] type prose conflicts with warn-not-enforce.","1 implement accepted algebra and all advertised strategies; 2 normalized fuzzy algebra with scored negation; 3 publish small executable strategy profile","Combine 1 and 3: normative MAX/MIN/WEIGHTED_MAX and cross-binding MIN, NULL preserved, negation unscored, W003 without clamp; expose only strategies with golden execution evidence.","specification-clarification;implementation-repair;capability-relabeling","Correct formulas and NULL handling can change rankings/window membership; temporarily rejecting unsupported strategies replaces silent wrong results with explicit failure.","Golden matrix for every public strategy across algebra/bindings/weights/NULL/ties/sources; domain assertions; stable diagnostics; property tests where promised; generated supported-strategy docs.",design-authority,recommended-awaiting-decision
CQL-P5-LANG-005,context-window,"Is unscored windowing legal, when is top-k applied, what deterministic order is used, and is warning-to-error configuration contractual?","CQL-WP-0E13830F9ACB;CQL-WP-F4B108FC980E;CQL-WP-CE6F4B903EF2;CQL-WP-5C43588D39FE;CQL-WP-4988B499ED48;CQL-WP-76008D58AA00;CQL-WP-F6B02C9B10FA",CQL-FND-HR-013,"CQL-CORE-WIN-001;CQL-CORE-ERR-001","none-assigned (tests/test_linter.py:126-138)","OQ-8;IM-2;CS-15","OQ-8 allows warning/configurable error; SPEC/LSP say scores required; whitepaper W101 conflicts with refresh W101; executor lowers but does not apply context_window.","1 scored-only error; 2 legal with W001 and deterministic key order plus error setting; 3 silent source-order truncation","Choose option 2; apply after context resolution/scoring but before ordinary WHERE/final order/projection/LIMIT/OFFSET; score DESC then canonical key ASC, or key ASC when unscored.","error-code-paper-repair;executor-repair;spec-and-tooling-repair","Activating currently inert syntax can reduce rows; W101 consumers migrate to W001 for windowing while W101 remains refresh failure; configuration needs defined scope/default.","Unsorted/tied end-to-end fixtures; cardinality boundaries; phase-order proof; scored/unscored/mixed/NULL; W001 payload; config error test if retained; source parity; trace pre/post counts.",design-authority,recommended-awaiting-decision
CQL-P5-LANG-006,error-warning-codes,"Which registry owns diagnostic identity and what stable meanings apply to W001/W003/W100/W101 and E108/E111?","CQL-WP-9A51E8EA195F;CQL-WP-945AA0A449F8;CQL-WP-F6B02C9B10FA;CQL-WP-FFCA3426B13A;CQL-WP-1A867374DEE3;CQL-WP-3FCC4C832E5F;CQL-WP-9B44A1743052","CQL-FND-HR-009;CQL-FND-HR-012;CQL-FND-HR-013;CQL-FND-HR-017","CQL-CORE-ERR-001;CQL-CORE-LNT-001;CQL-CORE-WIN-001;CQL-CORE-SNP-001;CQL-SRV-SCH-001","none-assigned (tests/test_linter.py:72-82,126-138; static registry)","IM-2;OQ-3;OQ-8;CS-15","IM-2 assigns ranges only; CS-15 assigns W100/W101 to freshness; whitepaper assigns those numbers to score/window and E111 to scope.","1 restore whitepaper allocations; 2 preserve implemented/SPEC allocations with migration map; 3 replace with namespaced codes","Choose option 2 and generate all documentation from one structured registry: W001 window, W003 score range, W100 stale, W101 refresh failed, E108 score scope, E111 score type.","governance-repair;spec-and-whitepaper-repair;direct-emitter-implementation-repair","Publish a versioned migration map; clients match code plus symbolic name; do not offer ambiguous numeric aliases; reserved codes are not supported codes.","Generated registry; uniqueness/range checks; public emission test per active code; template validation; docs consistency CI; no unregistered direct strings; complete conflict migration table.",design-authority,recommended-awaiting-decision
CQL-P5-LANG-007,ddl-surface,"Which composite, process, provider and security/administration DDL forms are normative executable v1 language, which are reserved, and which syntax wins?","CQL-WP-E2801958841C;CQL-WP-0D29D6A2491C;CQL-WP-9A9FF97A9B5A;CQL-WP-CFB95979A8CF;CQL-WP-6AF540D3C3E9;CQL-WP-CC3B700640DA;CQL-WP-21CE7759130B","CQL-FND-HR-002;CQL-FND-HR-030","CQL-CORE-CMP-001;CQL-CORE-EVT-001;CQL-CORE-PRC-001;CQL-CORE-SEC-001;CQL-CORE-PAR-002","P3-DDL-001;P3-DDL-002;P3-PRO-001;P3-PRO-002;P3-LAD-009;P3-EXE-010;P3-LAD-011;P3-EXE-012;P3-LAD-013;P3-EXE-014;P3-LAD-015;P3-EXE-016;P3-LAD-017;P3-EXE-018;P3-LAD-019;P3-EXE-020;P3-LAD-021;P3-EXE-022","OQ-4;AD-1;CS-12;CS-20","OQ-4 targets event-log DDL for v1, CS-20 requires executable DDL, but broad grammar forms are parse/model-only or UNKNOWN; exact composite/process syntax is undecided.","1 complete every grammar form before release; 2 publish generated maturity profile and reserve unsupported forms; 3 remove non-executable grammar forms","Choose option 2; provisional composite requires ON and process uses EXPECTED PATH; event log remains a v1 target; provider/admin/security DDL is reserved until full vertical slices and enforcement exist.","immediate-paper-status-repair;syntax-specification-decisions;implementation-roadmap","Parse-only files fail earlier with stable unsupported errors; whitepaper examples require migration; security syntax activation is sensitive because prior accepted text had no enforcement effect.","Generated statement ladder; chosen-form positive/negative fixtures; stable unsupported errors; no public UNKNOWN; restart persistence before elevation; provider activation query; threat model and abuse tests before security elevation.",design-authority,recommended-awaiting-decision
CQL-P5-LANG-008,sql-conformance,"What SQL dialect/profile does ContextQL accept, and can it claim SQL:2016 extension or unchanged pass-through?","CQL-WP-9E08C9D03070;CQL-WP-46D55A59C26F;CQL-WP-1710EFFE252E;CQL-WP-774AECD4912F",CQL-FND-HR-007,"CQL-CORE-PAR-002;CQL-CORE-QRY-001",P3-SQL-001,"none applicable; IM-1 selects parser technology only","No accepted conformance level/profile exists; grammar subset and reconstruction contradict unchanged pass-through and SQL:2016 wording.","1 add true unchanged pass-through; 2 define a tested ContextQL SQL subset; 3 implement a full standards conformance programme","Choose option 2 now; publish a feature profile and say DuckDB-backed, not DuckDB-equivalent; consider explicit native SQL execution separately.","whitepaper-and-spec-repair;conformance-test-expansion","Narrows claims rather than behavior; document currently failing portable SQL; any future pass-through path is versioned because it changes safety and side-effect boundaries.","Positive/negative feature matrix; adapter-difference table; generated SQL goldens; conformance CI; stable unsupported-feature errors; remove unqualified SQL:2016/pass-through current-status wording.",design-authority,recommended-awaiting-decision
CQL-P5-LANG-009,native-parameters-and-composition,"Are typed named parameters and COMPOSE available features or designed surfaces, and what binding, dependency, score, refresh and persistence semantics make them executable?","CQL-WP-E2801958841C;CQL-WP-62B4C921B4F2;CQL-WP-283A7DF88DC7;CQL-WP-4670FF34EF6A;CQL-WP-58811F9DDF28",CQL-FND-HR-027,"CQL-CORE-CMP-001;CQL-CORE-PAR-003;CQL-CORE-DDL-002;CQL-CORE-MCP-001","P3-DDL-001;P3-DDL-002;none-assigned-for-focused-composite-query","OQ-11;OQ-12;AD-5;CS-20","Decisions establish named binding, key compatibility and weighted default but not type coercion, cache identity, composite version consistency or failure atomicity; runtime stops before native substitution/composite evaluation.","1 finish both as v1; 2 reserve both until vertical slices exist; 3 ship macro/live expansion and defer materialized composites","Choose option 1 as target and option 2 as current status; safe named typed binding with defaults and trace/cache identity; composite ON, consistent child versions, accepted score algebra and atomic materialization.","immediate-relabeling;implementation-closure-roadmap;specification-completion","ON and validation invalidate examples/ignored arguments; safe binding affects auditing; composite persistence needs migrations, rollback and restart evidence.","Parameter required/default/type/NULL/error/injection/cache/trace tests; composite strategy/key/dependency/version/temporal/refresh/restart/cascade/rollback tests; successful create-query-refresh-restart probes.",design-authority,recommended-awaiting-decision
CQL-P5-LANG-010,multi-statement-contract,"Does the public execution API accept one statement, execute a script, or return multiple results transactionally?",none,CQL-FND-HR-026,CQL-CORE-QRY-002,"P3-MUL-001;P3-MUL-002",none,"Parser/lowerer retain all statements but Engine executes only statements[0]; CLI uses a separate naive split; no accepted contract exists.","1 reject extras in Engine.execute and add explicit script API later; 2 sequential multi-result execution; 3 transactional multi-result execution","Choose option 1 now; reject before any execution, ignore only whitespace/comments/empty trailing semicolons, and design parser-based execute_script separately if needed.","implementation-repair;public-api-documentation;conditional-script-roadmap","Previously silent truncation becomes explicit failure; align or clearly distinguish CLI file behavior; never use naive semicolon splitting.","SELECT/DDL combinations; failure atomicity; comments/empties; semicolons in literals/identifiers; trailing semicolon; stable Engine/CLI/server error; proof no first statement executes before rejection.",design-authority,recommended-awaiting-decision
