capability_id,domain,atomic_claim,implementation_evidence,public_surface,reachability,maturity,positive_evidence,negative_evidence,notes
CQL-SRV-BOOT-001,bootstrap,"Server initializes SQLite runtime state before the engine and hydrates catalog/snapshots/history through the runtime repository.","contextql-server:app/main.py:25-40; app/repositories/context_catalog.py","FastAPI lifespan",integrated,M4,"contextql-server:tests/test_context_persistence.py:34-134; tests/test_hardening_runtime.py:291-352",,"State is durable when catalog_db points to a file."
CQL-SRV-BOOT-002,bootstrap,"Persisted identity maps are synchronized into the engine at startup.","contextql-server:app/main.py:57-60; app/services/identity_service.py:97-110","FastAPI lifespan",integrated,M4,"contextql-server:tests/test_identity.py",,"Provider registry records do not receive equivalent runtime activation."
CQL-SRV-API-001,health,"GET /health reports server and engine status plus table/context/control-plane counts.","contextql-server:app/api/health.py:19-38; app/models/response.py:25-33","GET /health",integrated,M4,"contextql-server:tests/test_health.py:1-18",,"API is unversioned."
CQL-SRV-QRY-001,query,"POST /query executes ContextQL through the core engine and returns JSON rows and metadata.","contextql-server:app/api/query.py:16-32; app/services/query_service.py:54-101","POST /query",integrated,M4,"contextql-server:tests/test_query.py:4-57; tests/test_query_service.py:11-29",,"Only JSON response format is implemented."
CQL-SRV-QRY-002,query,"SELECT requests require an explicit LIMIT no greater than the configured maximum.","contextql-server:app/services/query_service.py:35-52; app/config.py:19","POST /query",integrated,M5,"contextql-server:tests/test_query_service.py:34-43",,"DDL and catalog statements bypass this check by design."
CQL-SRV-QRY-003,query,"Engine execution is configured with a maximum intermediate-row ceiling.","contextql-server:app/core/engine.py; app/config.py:20","POST /query",integrated,M5,"contextql-server:tests/test_hardening_runtime.py; contextql:tests/test_hardening_plan.py",,"Core engine supplies the pre-materialization enforcement."
CQL-SRV-QRY-004,query,"Encoded query responses are rejected when they exceed the configured byte ceiling.","contextql-server:app/services/query_service.py:67-77; app/config.py:21","POST /query",integrated,M5,"contextql-server:tests/test_query_service.py:45-59",,"Enforcement occurs after result construction."
CQL-SRV-EXP-001,explain,"POST /query/explain executes the query and returns actual rows plus the engine trace.","contextql-server:app/api/explain.py:23-59; app/models/explain.py:23-30","POST /query/explain",integrated,M4,"contextql-server:tests/test_explain.py",,"This is not a dry explain and may conflict with whitepaper plan-only semantics."
CQL-SRV-EXP-002,explain,"Explain traces expose resolved contexts provider calls identity-map names and score breakdown.","contextql-server:app/models/explain.py:8-30; app/api/explain.py:35-57","POST /query/explain",integrated,M4,"contextql-server:tests/test_explain.py",,"Evidence-level membership explanations are not a distinct API."
CQL-SRV-CAT-001,catalog,"POST /contexts creates a durable context through executable ContextQL DDL and then assigns draft state.","contextql-server:app/api/catalog.py:20-30; app/services/catalog_service.py:49-90","POST /contexts/",integrated,M4,"contextql-server:tests/test_catalog.py; tests/test_context_persistence.py",,"Core CREATE initially creates active before the service changes it to draft."
CQL-SRV-CAT-002,catalog,"Context list and describe APIs return the latest non-dropped version with namespace and lifecycle filters.","contextql-server:app/api/catalog.py:32-59; app/services/catalog_service.py:92-147","GET /contexts/; GET /contexts/{name}",integrated,M4,"contextql-server:tests/test_catalog.py",,"No authorization filtering is applied."
CQL-SRV-CAT-003,catalog,"Context updates are expressed as ALTER CONTEXT operations and force the latest definition to draft.","contextql-server:app/api/catalog.py:61-77; app/services/catalog_service.py:149-196","PUT /contexts/{name}",integrated,M4,"contextql-server:tests/test_catalog.py",,"Request fields entity_key has_score and classification are accepted by the model but not applied by service.update."
CQL-SRV-CAT-004,lifecycle,"The server exposes validate activate and retire transitions over a four-state lifecycle.","contextql-server:app/api/catalog.py:79-122; app/services/catalog_service.py:221-268","POST /contexts/{name}/validate|activate|retire",integrated,M4,"contextql-server:tests/test_catalog.py",,"The nine-state whitepaper lifecycle and query-time state gating are not implemented."
CQL-SRV-CAT-005,lifecycle,"Deletion is allowed only when the latest context version is in draft state.","contextql-server:app/api/catalog.py:124-139; app/services/catalog_service.py:198-218","DELETE /contexts/{name}",integrated,M4,"contextql-server:tests/test_catalog.py",,"DROP semantics also depend on core dependency handling."
CQL-SRV-CAT-006,versioning,"The server exposes all stored context versions in ascending version order.","contextql-server:app/api/catalog.py:141-148; app/services/catalog_service.py:271-282","GET /contexts/{name}/versions",integrated,M4,"contextql-server:tests/test_catalog.py",,"No dedicated diff endpoint is present."
CQL-SRV-CAT-007,preview,"The preview API executes a context definition and returns a bounded sample while recording execution metadata.","contextql-server:app/api/catalog.py:150-165; app/services/catalog_service.py:284-307","POST /contexts/{name}/preview",integrated,M4,"contextql-server:tests/test_catalog.py",,"Preview executes definition SQL; it is not a static plan operation."
CQL-SRV-CAT-008,refresh,"The refresh API executes REFRESH CONTEXT through the engine and returns updated catalog state.","contextql-server:app/api/catalog.py:167-177; app/services/catalog_service.py:309-315","POST /contexts/{name}/refresh",integrated,M4,"contextql-server:tests/test_catalog.py; tests/test_context_persistence.py",,"Failure state is recorded in runtime metadata."
CQL-SRV-CAT-009,history,"Snapshot and membership-history APIs expose persisted context runtime state.","contextql-server:app/api/catalog.py:179-221; app/services/catalog_service.py:317-381","GET /contexts/{name}/snapshots|history",integrated,M4,"contextql-server:tests/test_context_persistence.py:34-134",,"History query authorization and classification filtering are absent."
CQL-SRV-PER-001,persistence,"Three SQLite migrations define catalog provider identity audit snapshot payload history and connector synchronization state.","contextql-server:app/db/migrations/001_initial.sql; 002_context_snapshots.sql; 003_context_runtime_state.sql","catalog database",integrated,M4,"contextql-server:tests/test_hardening_runtime.py:326-352",,"Migrations use sequential ALTER statements and require upgrade testing."
CQL-SRV-PER-002,persistence,"Snapshot publication persists payload checksums metadata current/superseded state and history in a transaction.","contextql-server:app/repositories/context_catalog.py","runtime repository",integrated,M5,"contextql-server:tests/test_hardening_runtime.py:111-231",,"SQLite is the only persistent backend."
CQL-SRV-PER-003,persistence,"Runtime hydration verifies payload checksums and fails closed on corruption.","contextql-server:app/repositories/context_catalog.py:hydrate_runtime","server startup",integrated,M5,"contextql-server:tests/test_hardening_runtime.py:291-324",,"No automated repair path is provided."
CQL-SRV-PER-004,persistence,"Refresh publication preserves the old current snapshot until the replacement is durably promoted.","contextql-server:app/repositories/context_catalog.py","runtime repository",integrated,M5,"contextql-server:tests/test_hardening_runtime.py:111-289",,"Concurrency guarantee is scoped to the SQLite/reference runtime."
CQL-SRV-SCH-001,scheduling,"An optional background scheduler refreshes due active contexts and records refresh failures.","contextql-server:app/services/refresh_scheduler.py:14-124; app/main.py:66-72","background thread",integrated,M5,"contextql-server:tests/test_hardening_runtime.py:63-109",,"This is not the whitepaper's full distributed scheduler/resource governor."
