capability_id,domain,atomic_claim,implementation_evidence,public_surface,reachability,maturity,positive_evidence,negative_evidence,documented_claims,notes
CQL-CORE-PAR-001,parser,"The public parser loads the repository grammar with Lark Earley and returns positioned CSTs or normalized E001 syntax details.","grammar/contextql.lark:1-360; contextql/parser.py:25-112 ContextQLParser","ContextQLParser.parse; ContextQLParser.parse_file",integrated,M4,"tests/test_parser.py:6-77; tests/test_parser.py:215-239","The grammar labels itself a non-normative-complete scaffold at grammar/contextql.lark:2; E002-E004 exist in the registry but parser failures are normalized to E001.","README.md:61; DECISIONS.md:933-943; WHITEPAPER.md:2425,2533","Parsing is stable and broadly tested; error-code fidelity is partial."
CQL-CORE-PAR-002,sql-surface,"The grammar accepts a useful SQL subset including joins, CTEs, grouping, windows, CASE, casts, subqueries, and common predicates.","grammar/contextql.lark:31-158","ContextQL text accepted by ContextQLParser",surface,M2,"tests/test_parser.py:6-77; tests/test_grammar_extensions.py:23-96","The grammar is not a SQL:2016 grammar; unsupported constructs cannot pass through unchanged because parsing precedes adapter execution.","WHITEPAPER.md:2531-2533; README.md:56","The whitepaper's unqualified SQL:2016/pass-through statement is stronger than the reachable surface."
CQL-CORE-SEM-001,semantic,"Supported SELECT and core DDL syntax lowers to explicit semantic models and receives structured analysis diagnostics.","contextql/semantic.py:43-462 models; contextql/semantic.py:471-1433 lowerer/analyzer; contextql/semantic.py:1435 analyze_sql","analyze_sql; SemanticLowerer; SemanticAnalyzer",integrated,M4,"tests/test_semantic.py:48-332; tests/test_semantic_context_model.py:36-198","SemanticAnalyzer explicitly implements only a small subset of checks at contextql/semantic.py:1347-1433; several grammar statement kinds lower to UNKNOWN.","SPEC.md:528-551; docs/TOOLING.md:56-80","The semantic model is real but not coverage-complete."
CQL-CORE-LNT-001,diagnostics,"A tree-based linter reports catalog-aware errors E100/E102/E103/E107-E110/E118 and warnings W001-W004.","contextql/linter.py:37-547 ContextQLLinter; contextql/errors.py:39-171 registry","ContextQLLinter.lint; LSP diagnostics",integrated,M4,"tests/test_linter.py:13-179; tests/test_lsp.py:90-117","Many registered semantic/runtime codes are not emitted by the linter; catalog metadata is supplied in memory.","README.md:454-472; docs/TOOLING.md:171-194; WHITEPAPER.md:2196-2278","Lint presence should not be mistaken for full semantic conformance."
CQL-CORE-QRY-001,execution,"The engine executes a lowered SELECT through DuckDB and applies ContextQL membership/scoring in a hybrid execution pipeline.","contextql/executor.py:73-255 ContextQLExecutor; contextql/adapters/duckdb_adapter.py:22-204 DuckDBAdapter","Engine.execute; Result",integrated,M4,"tests/test_executor.py:96-363; tests/test_grammar_extensions.py:181-246","Executor handles only the first lowered statement at contextql/executor.py:133-171; execution strategy materializes a pandas DataFrame for fallback paths.","README.md:66; WHITEPAPER.md:2396-2408","This is a working reference engine, not the whitepaper's full planner/optimizer/Volcano architecture."
CQL-CORE-QRY-002,multi-statement,"The parser accepts multiple semicolon-delimited statements.","grammar/contextql.lark:4; contextql/parser.py:67-75","ContextQLParser.parse",surface,M2,"tests/test_parser.py:70-72","ContextQLExecutor.execute_sql selects analysis.statements[0] only at contextql/executor.py:139-146; Engine.execute does not execute the remainder.","WHITEPAPER.md:2533","CLI file mode splits statements itself, while direct Engine execution is first-statement-only."
CQL-CORE-CTX-001,context-registration,"Python callers can register live SQL contexts and snapshot-only connector contexts in the runtime catalog.","contextql/__init__.py:269-377 Engine.register_context/register_snapshot_context; contextql/adapters/duckdb_adapter.py:67-143","Engine.register_context; Engine.register_snapshot_context",integrated,M4,"tests/test_executor.py:96-363; tests/test_bitmap_pushdown.py:174-215","Direct registration bypasses DDL option validation and the default repository does not persist metadata.","README.md:221-301; WHITEPAPER.md:2031-2075","Two public registration paths have different lifecycle/materialization defaults."
CQL-CORE-CTX-002,context-algebra,"CONTEXT IN union, IN ALL intersection, NOT IN negation, weights, and explicit alias binding are executable for native and MCP contexts.","grammar/contextql.lark:72-94; contextql/semantic.py:657-788; contextql/executor.py:1148-1471","WHERE CONTEXT [ON alias] IN/IN ALL/NOT IN",integrated,M4,"tests/test_executor.py:166-328; tests/test_federation_integration.py:92-176; tests/test_builder.py:43-113","Score aggregation is not consistently tied to the selected ORDER BY strategy and negation scoring semantics are not separately implemented.","SPEC.md:175-250; WHITEPAPER.md:307-461; DECISIONS.md:39-194,551-672","Membership algebra is considerably more complete than score algebra."
CQL-CORE-CTX-003,then,"THEN chains parse and lower as sequence_mode.","grammar/contextql.lark:84; contextql/semantic.py:689-706; contextql/executor.py:1160-1185","CONTEXT IN (a THEN b [...])",executable,M3,"tests/test_parser.py:107-111; tests/test_semantic.py:241-246","Executor combines all masks with intersection and explicitly notes candidate-scoped staged evaluation is not enforced at contextql/executor.py:1475-1479; no end-to-end THEN semantic test exists.","WHITEPAPER.md:426-461,2689; DECISIONS.md:110-123","Public syntax is reachable but behavior diverges from the documented staged semantics."
CQL-CORE-SCR-001,scoring,"CONTEXT_SCORE(), CONTEXT_COUNT(), WEIGHT, and ORDER BY CONTEXT are executable over native, snapshot, and MCP membership.","grammar/contextql.lark:49-55,137-139; contextql/semantic.py:790-823; contextql/executor.py:1474-1669","CONTEXT_SCORE(); CONTEXT_COUNT(); ORDER BY CONTEXT",executable,M3,"tests/test_executor.py:204-279; tests/test_bitmap_pushdown.py:217-244; tests/test_mcp_remote.py:154-190; tests/test_hardening_plan.py:491-515","Only ad-hoc sum/intersection behavior is implemented; executor TODO at 1475 states only MAX/MIN strategies and missing AVG/SUM/COUNT/WEIGHTED_SUM, while grammar advertises seven strategies.","SPEC.md:205-250; WHITEPAPER.md:615-733; DECISIONS.md:53-80,604-645","Requires normative reconciliation and strategy-specific conformance fixtures."
